Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,50.990002,51.075001,48.875000,50.430000,50.346928,8948800
2020-04-14,52.404999,53.730000,51.990002,53.445000,53.356960,7585600
2020-04-15,51.075001,51.825001,50.279999,51.150002,51.065742,6354000
2020-04-16,51.654999,51.965000,50.410000,51.674999,51.589874,8600200
2020-04-17,53.950001,54.669998,52.855000,54.439999,54.350323,8610000
2020-04-20,52.889999,54.285000,52.419998,52.514999,52.428493,8686400
2020-04-21,50.685001,51.180000,48.939999,49.270000,49.188839,10860000
2020-04-22,51.200001,52.180000,50.705002,51.505001,51.420158,6892200
2020-04-23,52.009998,53.264999,51.375000,51.474998,51.390205,10621000
2020-04-24,52.090000,53.174999,51.270000,52.950001,52.862778,8750400
2020-04-27,53.705002,54.889999,53.540001,54.470001,54.380272,5154000
2020-04-28,55.965000,56.090000,53.814999,53.939999,53.851143,11184400
2020-04-29,56.150002,57.389999,55.715000,56.755001,56.661510,8042600
2020-04-30,56.169998,56.375000,54.959999,55.650002,55.558331,12714200
2020-05-01,53.680000,53.980000,52.259998,52.705002,52.618179,10049000
2020-05-04,51.955002,53.139999,51.375000,53.044998,52.957619,6311800
2020-05-05,54.169998,55.134998,53.830002,54.005001,53.916039,7783000
2020-05-06,54.705002,54.849998,53.250000,53.264999,53.177258,9360000
2020-05-07,54.555000,55.330002,54.349998,54.540001,54.450161,6734600
2020-05-08,55.845001,56.505001,55.375000,56.345001,56.252182,3872600
2020-05-11,55.540001,56.950001,55.360001,56.389999,56.297108,4076400
2020-05-12,56.849998,57.029999,54.055000,54.070000,53.980930,5125800
2020-05-13,53.884998,54.290001,51.200001,52.189999,52.104027,14700000
2020-05-14,51.189999,53.474998,50.250000,53.455002,53.366943,10151600
2020-05-15,52.485001,53.939999,52.075001,53.935001,53.846157,6303200
2020-05-18,56.485001,57.855000,56.355000,57.230000,57.135727,6225200
2020-05-19,56.974998,57.674999,56.035000,56.060001,55.967655,6119000
2020-05-20,57.520000,58.305000,57.435001,57.939999,57.844555,5672000
2020-05-21,57.884998,58.220001,56.665001,57.080002,56.985973,6726600
2020-05-22,57.020000,57.419998,56.490002,57.320000,57.225574,6173600
2020-05-26,59.880001,59.950001,58.615002,58.794998,58.698143,5863800
2020-05-27,59.965000,60.514999,57.900002,60.485001,60.385365,8019400
2020-05-28,60.974998,61.820000,59.994999,60.285000,60.185696,7720800
2020-05-29,60.090000,61.064999,58.924999,60.744999,60.644936,11076800
2020-06-01,60.520000,61.560001,60.305000,61.305000,61.204014,5014000
2020-06-02,61.705002,62.325001,61.125000,62.320000,62.217342,4418600
2020-06-03,63.195000,64.400002,63.075001,63.990002,63.884590,4631000
2020-06-04,63.505001,64.315002,62.705002,63.595001,63.490242,4651200
2020-06-05,66.084999,67.699997,66.029999,66.885002,66.774818,5871000
